**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology List
********
FR Number		D39/f0031	D39/f0031	D41/f7512	D41/f7515	D41/f7515A	D41/f9546	D42/f0054A	D42/f0069	D42/f0070	D42/f0077	D42/f0079	D42/f7517	D43/f0015	D43/f0015	D43/f0028	D43/f9524	D43/f9524	D43/f9537	D43/f9537	D43/f9537A	D43/f9537A	D44/f0016	D44/f0017	D44/f0018	D44/f0022	D44/f0022	D44/f0033	D44/f0036	D44/f0043	D44/f0044	D44/f0044	D44/f0044A	D44/f0044A	D44/f0044A	D44/f0046	D44/f0047	D44/f0048	D44/f0049	D44/f0049	D44/f0117	D44/f0141	D44/f0141	D44/f0143	D44/f0143	D44/f0144	D44/f0145	D44/f0146	D44/f0147	D44/f0148	D44/f0148	D44/f0149	D44/f0149	D44/f0150	D44/f0150	D44/f0151	D44/f0151	D44/f0152	D44/f0153	D44/f0154	D44/f0155	D44/f0155	D44/f0155A	D44/f0155A	D44/f0156	D44/f0157	D44/f0176	D44/f0176	D44/f0184	D44/f0192	D44/f0204	D44/f0204	D44/f0222	D44/f0222	D44/f0223	D44/f0223	D44/f0232	D44/f0234	D44/f0235	D44/f0236	D44/f0238	D44/f0239	D44/f0240	D44/f0241	D44/f0242	D44/f0243	D44/f0285	D44/f0285	D44/f0286	D44/f0286	D44/f7562	D44/f9001	D44/f9002	D44/f9003	D44/f9020	D44/f9036	D44/f9036	D44/f9062	D44/f9062	D44/f9129	D44/f9130	D44/f9130	D44/f9131	D44/f9132	D44/f9132	D44/f9133	D44/f9133	D44/f9478	D44/f9478	D44/f9478	D44/f9478	D44/f9478A	D44/f9478B	D44/f9478B	D44/f9478B	D44/f9478C	D44/f9478C	D44/f9479	D44/f9479	D44/f9480	D44/f9480	D44/f9511	D44/f9511	D44/f9542	D44/f9542	D44/f9542	D44/f9543	D44/f9543	D44/f9543	D44/f9553	D44/f9559	D44/f9559	D44/f9604	D44/f9604	D44/f9604	D44/f9604	D44/f9604A	D44/f9604A	D44/f9621	D44/f9622	D44/f9623	D44/f9624	D44/f9624	D44/f9625	D44/f9626	D44/f9651	D44/f9671	D44/f9672	D44/f9672A	D44/f9672A	D44/f9672A	D44/f9751	D44/f9751	D44/f9779	D44/f9779	D44/f9779A	D44/f9780	D44/f9780	D44/f9861	D44/f9863	D44/f9864	D44/f9865	D44/f9870	D44/f9870	D44/f9872	D44/f9873	D44/f9874	D44/f9875	D44/f9876	D44/f9878	D44/f9881	D44/f9882	D44/f9883	D44/f9885	D44/f9888	D44/f9891	D44/f9891	D44/f9892	D44/f9892	D44/f9894	D44/f9894	D44/f9949	D44/f9949A	D44/f9951	D44/f9954	D44/f9955	D44/f9957	D44/f9958	D44/f9959	D44/f9960	D45/f0032	D45/f0032	D45/f0036	D45/f0037	D45/f0037	D45/f0038	D45/f0042	D45/f0045	D45/f0047	D45/f0048	D45/f0053	D45/f0053	D45/f0068	D45/f0096	D45/f0096	D45/f0096A	D45/f0097	D45/f0097	D45/f0098	D45/f0098	D45/f0098A	D45/f0098A	D45/f0176	D45/f0298	D45/f0319	D45/f0320	D45/f0328	D45/f0328	D45/f7443A	D45/f7443A	D45/f7500	D45/f7500	D45/f7500	D45/f7500	D45/f7500A	D45/f7500A	D45/f7500B	D45/f7500B	D45/f7500C	D45/f7500C	D45/f7500C	D45/f7540	D45/f7540	D45/f7570	D45/f7570	D45/f7572	D45/f7572	D45/f7574	D45/f7574	D45/f7574	D45/f7574	D45/f7574	D45/f7574	D45/f7574A	D45/f7574B	D45/f7574B	D45/f7574C	D45/f7579	D45/f7579	D45/f7590	D45/f7590	
Plantae	gen. indet.																													Plant fragments.	Leaves, stems.		*			Leaf.	Leaves and stems.	Plant fragments.																																							?carbonised woody material				*																																																																																																																	Plant? fragments.																																			Equisetalean axis																							
Plantae	Glossopteris sp.																																																																																																											cf. G. ampla			cf. G. ampla		*		1 specimen, one side only	*	*																																																																																																																																							
Plantae	Linguifolium sp.																																*																																																																																																																																																																																																																											
Plantae	sp.																																																																																																																																																																																																Fragmented plant remains.			Plant and leaf fragments.					Plant fragments.																																																			
Plantae	Sphenopteris sp.																																																																																																																																																																																																																															small fragment																												
Plantae	Taeniopteris																																																																																																																																																																																																																? Leaf.																																											
Foraminifera	?Dentalina sp.																														*					*																																																																																																																																																														*																																																										
Foraminifera	?Frondicularia																																																																																																																																																							*																																																																																																				
Foraminifera	Dentalina sp.																																																																																																																																																																																																						?																																																					
Foraminifera	Lingulina																																																																																																																																																																																																							?																																																				
Foraminifera	Marginulina																																																																																																																																																																																																								?																																																			
Foraminifera	Nodosaria																																																																																																																																																							*																																																	*																																																			
Foraminifera	Nodosaria sp.																																																																																																																															*																																																																																																																												
Foraminifera	Nodosaria sp. indet.																																																																																																															*																																																																																																																																												
Foraminifera	Nodosariidae																																																																																																																																																																																																							*																																																				
Protozoa	Sarcodina																														*																																																																																																																																																																																																																													
Porifera	gen. indet.																																																																																																																									*																																																																																																																																		
Cnidaria								*	*	*																																							*			*			*	*		*			*				*																																																																																						*																																																																																																					
Bryozoa								*	*	*	*	*																																*		*	*	*	*						*	*		*	*		*				*																																																																																																																																																																																											
Brachiopoda	'Chonetes' sp.																																																																																																																																								*																																																																																																																			
Brachiopoda	'Punctomentzelia'																														*																																																																																																																																																																									Punctate, spiny.																																																				
Brachiopoda	'Rhynchonella'																																																																																																																																																							*																																																																																																				
Brachiopoda	'Rhynchonella' cf. nuggetensis																																																																																																																															JGB 7/10/83																																																																																																																												
Brachiopoda	'Rhynchonella' n.sp.																																																																																																																																																							*																																																																																										*										
Brachiopoda	'Rhynchonella' n.sp. a																																																																																																																																																																																																																																			*																								
Brachiopoda	'Rhynchonella' sp.																														*																																																																																																																																																																										Small, few folds.								*																																											
Brachiopoda	'Rhynchonella' sp. a																																																																																																																																																																																														cf. J.G. Begg PhD. O. U.																																																													
Brachiopoda	'Rhynchonella' sp. b																																																																																																																																																																																														cf. J.G. BEGG PhD. O. U.																																																													
Brachiopoda	'Terebratula' sp.																																																																																																																																																																																														*																																																													
Brachiopoda	? Dielasma sp.																				*																																																																																																																																																																																																																																							
Brachiopoda	? Spirifer cf. bicarinata																																																																																																																																						*																																																																																																																					
Brachiopoda	?Alipunctifera n.sp. a																																																																																																																																																																																																																					*																																						
Brachiopoda	?Aorhynchia sp.													D. MacFarlan (in prep).	*																																																																																																																																																																																																																																													
Brachiopoda	?Aparimarhynchia dunrobinensis			*																																																																																																																																																																																																																																																								
Brachiopoda	?Aperispirifer cf. nelsonensis																																																																																														*																																																																																																																																																													
Brachiopoda	?Aperispirifer nelsonensis																																																																																																																																																																						*																																																																																					
Brachiopoda	?Aperispirifer sp. indet.																																																																															*																																																																																																																																																																												
Brachiopoda	?Athyris																																																																																																																																																																																																	Fragment.																																																										
Brachiopoda	?Athyris sp.																																					Fragment.																																																																																																																																																																																																																						
Brachiopoda	?Attenuatella altilis																																																																																*	*				*																																																																																																																																																																						
Brachiopoda	?Aulosteges sp.																																																														*																																																																																																																																																																																													
Brachiopoda	?Cleiothridina sp.								*																																																																																																																																																																																																																																																			
Brachiopoda	?Echinalosia cf. ovalis																																																																																																															*																																																																																																																																												
Brachiopoda	?Echinalosia sp. indet.																																																																																				*																																																																																																																																																																							
Brachiopoda	?Elythidae gen. indet.																																																																																																																																										or (? Phricodothyris)																																																																																																																	
Brachiopoda	?Grantonia sp.																																																																																																																																											*																																																																																																																
Brachiopoda	?Grumantia pelicanensis																																																																																																												*																																																																																																																																															
Brachiopoda	?Grumantia sp.																																																																																																																																										*		*																																																																																																															
Brachiopoda	?Lepismatina sp.																		As at S159/f0671.																																																																																																																																																																																																																																									
Brachiopoda	?Linoproductus sp.																																																																																																																																				*																																																																																																																							
Brachiopoda	?Lissochonetes sp.																																																																																				*																																																																																																																																																																							
Brachiopoda	?Maorielasma globosum																																																																																																																																																*																																																																																																											
Brachiopoda	?Maorirhynchia nuggetensis																																																																																																																																*																																																																																																																											
Brachiopoda	?Martinia adentata																																																																																			*		*																																																																																																																																																																						
Brachiopoda	?Martiniopsis																																																						*																																																																																																																																																																																																					
Brachiopoda	?Mentzeliopsis sp.																		*																																																																																																																																																																																																																																									
Brachiopoda	?Neospirifer sp.																																																																																																																																																																																																																																											*																
Brachiopoda	?Permospirifer																																																																																																																																																*																																																																																																											
Brachiopoda	?Permospirifer sp. a																																																																																																																																										*																																																																																																																	
Brachiopoda	?Productidae																																																																					*																																																																																																																																																																																						
Brachiopoda	?Rhipidomella sp.																																																																																																																																				*																																																																																																																							
Brachiopoda	?Sakawairhynchia zealandica																																																																																																																																*																																																																																																																											
Brachiopoda	?Spirifer cf. glaber																																																																																																																																											*																																																																																																																
Brachiopoda	?Spiriferella sp.																																																						*																																																																																																																																																																																																					
Brachiopoda	?Spiriferina																																																																																																																																																																																																																																									*																		
Brachiopoda	?Stenoscisma sp.																																																																														*																																																																																																																																																																													
Brachiopoda	?Taeniothaerus cf. miniliensis																																																																																																																																			*																																																																																																																								
Brachiopoda	?Terebratulidae																																			*																																																																																																																																																																																																																								
Brachiopoda	?Tetrarhynchiinae																																									New gen. et. sp. D.																																																																																																																																																																																																																		
